500
534
2
1	2	3	4
1	3	1	2
1	4	2	4
1	5	2	4
1	6	2	1
1	7	4	1
1	8	5	1
1	9	5	1
1	10	4	3
2	11	1	5
2	12	2	4
2	13	5	4
2	14	4	1
2	15	3	5
2	16	5	1
2	17	1	4
3	18	4	5
3	19	5	1
3	20	2	3
3	21	1	2
3	22	3	2
3	23	4	5
3	24	2	3
3	25	5	3
3	26	5	4
3	27	3	2
4	28	5	4
4	29	1	5
4	30	5	4
4	31	3	2
4	32	5	4
4	33	3	2
4	34	1	2
4	35	5	4
4	36	3	4
4	37	2	5
5	38	2	4
5	39	3	5
5	40	5	1
5	41	1	3
5	42	5	4
5	43	2	4
5	44	4	5
5	45	4	1
5	46	5	4
5	47	5	1
6	48	3	1
6	49	1	4
6	50	2	3
6	51	4	1
6	52	5	3
6	53	1	5
6	54	3	1
6	55	3	1
6	56	4	1
6	57	4	3
7	58	3	1
7	59	3	5
7	60	1	4
7	61	1	5
7	62	3	2
7	63	3	4
7	64	2	3
7	65	4	5
7	66	1	5
7	67	4	5
8	68	5	4
8	69	2	3
8	70	4	3
8	71	2	5
8	72	4	1
8	73	4	5
8	74	3	1
8	75	2	4
8	76	3	1
8	77	4	3
9	78	4	3
9	79	4	3
9	80	3	2
9	81	3	5
9	82	1	4
9	83	3	4
9	84	5	2
9	85	2	3
9	86	1	2
9	87	3	4
10	88	2	3
10	89	4	3
10	90	2	5
10	91	1	4
10	92	4	3
10	93	4	3
10	94	3	5
10	55	1	5
10	95	1	3
10	96	5	1
97	98	5	1
97	99	1	4
97	100	5	2
97	101	3	4
97	102	1	4
97	103	1	2
97	104	2	4
97	105	3	2
97	106	4	2
97	107	3	2
108	109	3	2
108	110	1	5
108	111	2	4
108	30	2	1
108	112	4	5
108	113	1	2
108	114	5	3
108	115	1	4
108	116	5	1
108	117	3	5
118	39	3	1
118	119	4	3
118	120	2	5
118	121	1	3
118	122	1	5
118	123	3	1
118	124	5	1
118	125	1	2
118	126	5	4
118	127	1	3
128	129	5	1
128	130	3	2
128	131	2	3
128	132	2	3
128	133	2	5
128	134	2	3
128	135	2	3
128	136	4	5
128	137	1	4
128	138	3	5
139	140	5	2
139	120	1	2
139	141	2	5
139	142	1	3
139	143	4	3
139	144	4	1
139	145	1	2
139	146	5	3
139	147	4	5
139	148	4	3
149	150	1	4
149	89	4	3
149	91	5	1
149	151	2	1
149	55	1	3
149	96	1	3
149	152	2	5
149	153	2	3
149	154	5	4
149	100	4	1
155	156	2	5
155	157	2	1
155	158	1	3
155	159	2	1
155	160	1	2
155	161	2	5
155	162	4	2
155	163	4	1
155	164	3	2
165	166	5	2
165	141	1	2
165	167	4	2
165	76	3	4
165	168	4	1
165	169	5	3
165	170	3	2
165	171	3	4
165	172	5	2
165	143	5	4
173	132	5	1
173	174	2	3
173	175	2	1
173	47	5	4
173	176	3	2
173	177	2	5
173	178	1	4
173	179	5	4
173	180	2	5
181	55	1	5
181	182	1	2
181	183	1	2
181	184	3	1
181	146	2	1
181	147	5	2
181	185	5	3
181	186	1	5
181	187	2	5
181	188	5	1
189	190	3	5
189	191	1	4
189	192	5	1
189	193	3	4
189	194	5	4
189	195	2	4
189	196	5	2
189	197	5	2
198	199	2	3
198	200	5	1
198	201	1	3
198	202	4	1
198	203	1	4
198	204	4	5
198	205	1	2
198	206	3	2
207	208	3	5
207	209	5	3
207	210	1	2
207	211	3	1
207	212	2	4
207	213	4	1
207	214	5	2
207	117	5	3
207	215	1	3
207	216	3	4
217	167	4	5
217	182	3	1
217	218	3	1
217	146	1	2
217	219	5	4
217	220	5	1
217	186	4	1
217	221	3	4
217	203	2	4
222	223	3	5
222	224	4	3
222	225	1	3
222	226	3	4
222	227	2	5
222	228	2	3
222	229	2	4
222	170	2	5
222	230	1	2
222	231	4	1
232	233	2	5
232	234	4	2
232	235	1	3
232	236	4	2
232	237	2	1
232	238	2	1
232	239	3	1
232	240	4	5
232	241	2	3
232	242	2	3
243	244	4	1
243	245	2	3
243	246	2	1
243	143	1	5
243	247	5	3
243	146	5	3
243	147	4	5
243	248	1	5
243	249	3	1
243	59	3	2
250	251	3	1
250	252	5	2
250	253	1	3
250	170	1	5
250	254	2	3
250	255	5	2
250	256	5	4
250	257	2	1
250	258	4	3
250	259	3	4
260	261	3	2
260	182	2	3
260	262	1	3
260	263	2	3
260	146	3	4
260	147	3	1
260	264	3	4
260	186	1	2
260	265	2	1
260	266	1	4
267	268	3	4
267	269	2	3
267	270	1	4
267	271	4	2
267	272	4	2
267	273	5	2
267	274	3	4
267	275	3	5
267	276	2	5
277	278	2	4
277	279	2	5
277	280	3	4
277	281	2	1
282	283	3	4
282	284	5	1
282	285	3	2
282	286	1	2
282	287	3	5
282	288	1	5
282	289	3	1
282	290	2	1
282	291	5	2
282	292	1	5
293	294	4	1
293	295	4	1
293	56	5	1
293	296	1	4
293	297	1	5
293	298	3	1
293	147	2	4
293	299	3	4
293	300	5	4
301	166	3	4
301	302	3	1
301	141	2	3
301	167	4	2
301	168	5	1
301	171	3	5
301	303	5	4
301	304	3	4
301	305	1	3
301	306	4	1
307	308	2	1
307	309	2	4
307	141	2	3
307	297	2	5
307	310	1	4
307	311	5	1
307	312	1	5
307	313	1	4
307	314	4	5
307	145	2	4
315	316	4	2
315	297	4	3
315	317	4	3
315	318	2	5
315	319	2	3
315	320	3	5
315	321	1	2
315	322	2	4
315	323	2	1
324	325	5	2
324	326	5	1
324	327	1	3
324	328	1	4
324	329	5	1
324	190	2	4
324	330	4	2
324	331	4	5
324	332	4	5
333	334	3	4
333	335	5	1
333	182	5	4
333	171	1	3
333	336	2	4
333	186	3	2
333	337	4	5
333	338	5	2
333	339	3	4
333	340	1	5
341	342	1	2
341	343	2	5
341	344	3	4
341	345	5	4
341	346	2	5
341	55	1	4
341	347	3	5
341	348	2	5
341	349	3	5
341	350	5	3
351	352	3	1
351	235	1	2
351	152	4	5
351	353	2	5
351	354	2	1
351	355	1	2
351	356	2	4
351	357	4	5
351	358	1	5
351	359	2	4
360	361	2	3
360	362	1	3
360	363	4	3
360	364	3	4
360	365	3	2
360	366	2	3
360	367	3	4
360	368	2	5
360	369	3	1
370	54	4	5
370	371	5	4
370	56	1	3
370	372	1	4
370	373	2	1
370	374	4	5
370	375	3	1
370	376	1	5
370	300	1	5
370	377	1	4
378	56	4	5
378	379	5	4
378	380	1	4
378	381	1	4
378	382	5	2
378	383	3	2
378	384	2	5
378	385	1	2
378	386	3	1
387	388	3	5
387	389	1	2
387	390	2	4
387	391	4	1
387	392	4	5
393	394	1	5
393	395	2	1
393	396	4	3
393	397	2	4
393	398	4	2
393	399	4	3
393	400	1	2
393	401	5	1
393	402	5	3
403	168	3	4
403	112	4	5
403	404	2	5
403	405	2	4
403	406	2	5
403	407	1	5
403	408	1	3
409	410	2	5
409	411	4	1
409	112	5	3
409	412	4	1
409	413	2	1
409	414	2	3
409	415	5	1
409	416	1	2
409	417	4	2
418	325	3	4
418	419	2	5
418	420	4	3
418	421	3	2
418	422	4	1
418	423	2	3
418	424	1	4
418	425	1	4
426	427	3	5
426	428	1	3
426	104	5	3
426	411	3	1
426	112	4	2
426	298	1	3
426	429	3	2
426	430	5	3
426	431	3	4
426	126	1	5
432	433	1	2
432	434	4	2
432	435	5	2
432	436	1	2
432	437	2	1
432	438	2	1
432	439	5	4
440	441	5	2
440	442	1	3
440	443	3	1
440	444	5	4
440	445	5	3
440	446	1	2
440	447	3	2
440	448	1	4
449	450	5	4
449	451	2	3
449	452	2	5
449	453	1	5
449	454	5	2
449	455	4	1
449	456	3	4
449	457	5	1
449	458	4	2
459	112	1	4
459	442	4	2
459	460	1	4
459	461	4	5
459	462	1	4
459	463	4	5
459	464	3	2
459	465	4	5
459	466	2	1
467	468	2	5
467	469	3	4
467	470	3	4
467	471	1	2
467	472	2	1
467	473	5	2
467	474	2	3
475	352	3	5
475	476	2	5
475	477	5	4
475	478	5	2
475	479	4	2
475	480	2	5
475	481	5	4
475	482	2	4
483	224	4	3
483	209	4	5
483	484	2	3
483	143	2	4
483	58	3	5
483	184	1	2
483	485	4	2
483	486	1	5
487	488	4	3
487	489	1	4
487	490	5	3
487	491	1	5
487	492	4	2
487	493	3	5
487	494	4	5
487	495	2	3
487	496	1	5
497	498	2	4
499	500	4	3
267	474	-100	-100
393	183	-100	-100
440	145	-100	-100
198	26	-100	-100
2	298	-100	-100
112	37	-100	-100
112	210	-100	-100
145	25	-100	-100
171	258	-100	-100
258	472	-100	-100
76	254	-100	-100
126	227	-100	-100
